,count,mean,std,min,max
slot,414164,370326455.28501743,4851964.282053948,346381916.0,374281311.0
block_time,414164,1759261300.0700388,1922167.8827357332,1749761345.0,1760829464.0
num_swaps,414164,0.8336528524932286,0.37255447154988874,0.0,2.0
token_amount_a,414164,307555984493.0379,5441610181834.414,0.0,1171287216983416.0
token_amount_b,414164,4622717661.554148,42123825353.7996,0.0,5800000000000.0
pre_balance_a,414164,2756527.650151326,5010058.141764478,0.0,22155392.203868
pre_balance_b,414164,21342910.34479042,53742448.514669195,0.0,200270991.212009
post_balance_a,414164,2756589.1788001107,5010131.411664941,0.0,22155392.203868
post_balance_b,414164,21342977.486311413,53742550.58379395,0.0,200270991.212009
decimals_a,414164,7.527786094397496,2.090217084979833,0.0,9.0
decimals_b,414164,6.979356003901837,1.883500210272207,0.0,9.0
token_price_a,414164,101.48470565741361,102.48216901782125,0.0,237.80985275
token_price_b,414164,536.343360410221,1261.842230337073,0.0,4198.68648353
token_ema_a,414164,101.39010574973126,102.40409589247501,0.0,236.16257
token_ema_b,414164,534.7463380175188,1257.010469488646,0.0,4164.3483
fee_tier,414164,0.00185058575829872,0.00298808437909514,0.0001,0.01
token_amount_a_ui,414164,1859.974657277881,28536.3865826539,0.0,4900000.0
token_amount_b_ui,414164,3910.369344320409,41825.38969420776,0.0,5800000.0
volume_usd,414164,2240.8736113961495,28149.13820931389,0.0,4896091.123
fee_usd,414164,0.9760652317498714,7.809066347769986,0.0,1366.8224906302355
lp_fee_usd,414164,0.849176751622408,6.793887722559827,0.0,1189.1355668483052
price_ratio,414162,810.3930825778436,2394.9634879955934,0.0003983768857592,29948.98117757496
tvl_usd,414164,10904444.404197292,17048503.228262804,0.0,53077187.648907706
tvl_utilization,397904,0.0002510850208068508,0.0014442968707893062,0.0,0.1956892630424016
balance_ratio,397904,,,1.0892591061540842e-05,inf
balance_imbalance,397904,,,5.224918641744125e-06,inf
