slot,block_time,tx_signature,token_mint_a,token_mint_b,token_vault_a,token_vault_b,num_swaps,token_amount_a,token_amount_b,pre_balance_a,pre_balance_b,post_balance_a,post_balance_b,decimals_a,decimals_b,token_price_a,token_price_b,token_ema_a,token_ema_b,pool_address,fee_tier,token_amount_a_ui,token_amount_b_ui,volume_usd,fee_usd,lp_fee_usd,date,price_ratio,tvl_usd,tvl_utilization,balance_ratio,balance_imbalance
373348755,1760458842,4uPbbFd37Rqyy8QFSw6KivndYWQteLMSAUabKcdAuYHNCDLnGMAQ1CZFpKPonzcCWYDKWcbFFzriUavAowWsDExQ,So11111111111111111111111111111111111111112,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,J757hq9DXGPDYfCoeGpTcD9A71NFgNqBRMXHrdVGyRxK,SdFLxX6sWTkKWje3Xb4YNewbm5ieaj3tfEJYeLTyqyg,1,2795627,22913485,14387.629155663,190247096.665278,14387.626360036,190247119.578763,9,6,204.70240551,0.02503453,198.292343,0.02431574,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,0.003,0.002795627,22.913485,0.5722715718087048,0.0017168147154261,0.0014936288024207,2025-10-14 16:20:42,8176.802420896259,7707928.947986584,7.424453127038618e-08,0.6183787608042487,0.3816212391957513
367923553,1758310389,4TopVm2Bz9dm2Eros98UzFjTMcbysEzHL7tKjW2nzQWb9uaFzskQH5r9Gxsfi5tdWoUqb5HFHvwzdUSifstMZy3R,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,1,645120807,645289018,10277628.480787,10641531.283128,10276983.35998,10642176.572146,6,6,0.99909605,0.99969213,0.99913982,0.9997342,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,0.0001,645.120807,645.289018,644.5376500465123,0.0644537650046512,0.0560747755540465,2025-09-19 19:33:09,0.9994037364283342,20906593.64611648,3.082939578568022e-05,0.9651085470671444,0.0348914529328556
371274814,1759636438,54LB39rd3EME1oGpuXhN67mPAKBXod2TXDBxzvDPAbYHzYgNh3KnuNg2yfbokGGudDZYyVbUBQThMjEMdm9MSSdt,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,19259121,168647308,287.600172711,74365.26206176,287.619431832,74363.57558868,9,8,231.18132675,2.63257296,230.355869,2.59385224,CSP4RmB6kBHkKGkyTnzt9zYYXDA8SbZ5Do5WfZcjqjE4,0.0005,0.019259121,1.68647308,4.452349144818787,0.0022261745724093,0.0019367718779961,2025-10-05 03:53:58,87.81573398444388,262259.78015367803,1.697686599984876e-05,0.3396489654319503,0.6603510345680497
372948122,1760299731,2d4j3FxG3S51CqMgbm4sZGrYrK8Qr11ScDpaD3do8NebP7T2pHXzj57LcFbUmf6tx9VoQJW7DRtnUQPq4fktPvTr,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EUuUbDcafPrmVTD5M6qoJAoyyNbihBhugADAxRMn5he9,2WLWEuKDgkDUccTpbwYp1GToYktiSB1cXvreHUwiSUVP,0,0,0,185062.298427314,16376511.03369,185062.298401505,16374557.381358,9,6,196.44374134,0.999939,195.140156,0.99993285,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.0004,0.0,0.0,0.0,0.0,0.0,2025-10-12 20:08:51,196.4557251392335,52727888.81232888,0.0,2.220307223069849,1.2203072230698488
372509827,1760125594,5L9gb7HRKH2Xy6FkSTDyhZvwMiv7WhkG3JxM8Hjrb7fdfNy1CufmKWR6rPPL61MzosonHPubSj3AMM332DsN3CPR,DriFtupJYLTosbwoN8koMbEYSx54aFAVLddWsbksjwg7,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,CZTNRTq6Pt5pjPvd8ybTy2PCFZUZs4cCRhCRbzx9ftAS,7xrEYrFAdU8MARhPZrAUVEBr6F2FFuqRhKn32QqJT1D7,1,12997696,36639165,316849.127389,955.205454406,316836.129693,955.242093571,6,9,0.71933111,254.89201026,0.72092215,256.877162,7u3wk63dbFfN6WUdxpJ6SDNMwDixK1ti2J3Q21ws5Vxs,0.0016,12.997696,0.036639165,9.34964709112256,0.014959435345796,0.0130147087508426,2025-10-10 19:46:34,0.0028221014431415,471393.66237545287,1.983405344061628e-05,0.9360388375510212,0.0639611624489788
372938977,1760296099,3TFkN3VqqLsBXMwk79MuSpY9a7KqPms3Ud8MMn5MaGrGU8MZb6GJcHDEJ6GD6tDyjQeQisei3UNnHmtXnPnH9PaN,So11111111111111111111111111111111111111112,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,AqKqiu9mWCPoWT1WqofQUrcyCm53VCY9tPc3PdaMDuTy,A99HYkvGeE5Btn5Mi2246oV4DSUAcG7CxFMuJ6vUARDy,1,2291935092,10818935,12542.974272183,386.98360107,12540.682337091,387.09179042,9,8,194.527,4117.04817406,193.708905,4112.9387,HktfL7iwGKT5QHjywQkcDnZXScoh811k7akrMZJkCcEF,0.0005,2.291935092,0.10818935,445.843257641484,0.222921628820742,0.1939418170740455,2025-10-12 19:08:19,0.0472491435066615,4033176.861929578,0.0001105439391587,1.5307389980390915,0.5307389980390917
373348541,1760458756,4NHkQNBosmKW4GE9F9PdHMBUmoTSXGs62VHZQE6GD9jdy44hvjRsUzagDQKus3vmHtw91ruGCZDsA3xcv1V1BuUE,So11111111111111111111111111111111111111112,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,J757hq9DXGPDYfCoeGpTcD9A71NFgNqBRMXHrdVGyRxK,SdFLxX6sWTkKWje3Xb4YNewbm5ieaj3tfEJYeLTyqyg,1,4015329547,32885461600,14398.377074707,190159045.749603,14394.36174516,190191931.211203,9,6,202.5523038,0.02472769,198.206172,0.02430431,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,0.003,4.015329547,32885.4616,813.3142502610605,2.439942750783181,2.122750193181368,2025-10-14 16:19:16,8191.315234055425,7618618.2487047,0.0001067535114256,0.6199461454371545,0.3800538545628454
370981871,1759520604,5KddcRDVeQHLbvKqogG1Box7xUAYjtvnBTsk87wxtFDSi7p97yVcpRZYLH8RFdRYptDjrgPc3KHWqry3E8zznN3c,So11111111111111111111111111111111111111112,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,BW18gGtaQjD2VgNmmWXBeqHu22k4KC4WamWyEP3S7PNU,BvquGcdP4bVHfb6RxBxUSaS2kwm36FPHMadACfYKMp6t,1,2707935,23443033,308.516924974,70595.2311815,308.514217039,70595.46561183,9,8,234.63749999,2.69920216,233.44815,2.6714691900000003,CSP4RmB6kBHkKGkyTnzt9zYYXDA8SbZ5Do5WfZcjqjE4,0.0005,0.002707935,0.23443033,0.6353830985354206,0.0003176915492677,0.0002763916478629,2025-10-03 19:43:24,86.92846481346918,262940.4378630605,2.4164525764817068e-06,0.3798922073521331,0.6201077926478669
370758179,1759432112,2oQ3ocVdDfCyKN8U19PAfBoUhk3MNAUNXitG3VxuVT6jn4fdVeJAv81cvzLLZmguXHxtXcPWHsFvPq8usYWVwcTk,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,0,0,0,15732377.644751,14504900.900411,15732394.96343,14504916.633052,6,6,0.99948941,0.99979269,0.9995294,0.99978387,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,0.0001,0.0,0.0,0.0,0.0,0.0,2025-10-02 19:08:32,0.9996966571139864,30226271.778670423,0.0,1.0842959702022508,0.0842959702022507
368825019,1758667556,4QndFJrWuwyC5rERcmCtxWEgzCG5xmcUnNh9CdpRHdda6opJLhJDKTAcSY4tkzj1hARnLRgwyaWdeaGngNbZVJdZ,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EeF6oBy6AQiBJoRx5xiRNxa6cmpQE3ayVagj28QFZuyg,MvB8poDgpDPbRgx8MXeb7EPEsawGuiBTqpkpM9exeLi,1,197619329,197642889,11421329.899003,12920984.30311,11421527.518332,12920786.660221,6,6,0.99932606,0.99977816,0.99935009,0.99977811,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,0.0001,197.619329,197.642889,197.4861454294137,0.0197486145429413,0.0171812946523589,2025-09-23 22:45:56,0.999547799683882,24331750.40698459,8.116396976220998e-06,0.8835656063515867,0.1164343936484133
